Villes,O_Janvier,R_Janvier,O_Fevrier,R_Fevrier,O_Mars,R_Mars,O_Avril,R_Avril,O_Mai,R_Mai,O_Juin,R_Juin,O_Juillet,R_Juillet,O_Aout,R_Aout,O_Septembre,R_Septembre,O_Octobre,R_Octobre,O_Novembre,R_Novembre,O_Decembre,R_Decembre
Alencon,268.0,165.6,120.5,120.5,102.4,108.4,271.0,385.5,144.6,156.6,286.1,283.1,66.3,69.3,337.3,397.5,180.7,195.7,322.2,316.2,192.7,108.4,262.0,295.1
Amiens,90.8,47.6,179.5,365.5,114.6,97.3,121.1,201.1,116.8,108.1,64.9,69.2,106.0,134.1,149.2,84.4,60.6,58.4,188.2,138.4,90.8,97.3,151.4,175.2
Angers,20.5,10.3,20.5,20.5,37.7,34.2,65.1,61.6,47.9,47.9,27.4,58.2,17.1,13.7,51.4,34.2,44.5,44.5,17.1,10.3,24.0,20.5,61.6,99.3
Angouleme,287.4,151.4,265.8,139.1,145.3,176.2,191.6,222.5,114.4,77.3,132.9,231.8,200.9,200.9,272.0,148.4,213.3,176.2,204.0,163.8,129.8,157.6,318.3,299.8
Arras,354.5,274.1,283.6,354.5,198.5,146.5,519.9,326.1,198.5,231.6,269.4,255.2,99.2,122.9,439.5,387.5,378.1,378.1,411.2,250.5,132.3,122.9,297.7,179.6
Bastia,122.9,78.5,320.9,375.5,153.6,191.1,180.9,160.4,109.2,133.1,249.2,129.7,109.2,81.9,204.8,225.3,105.8,68.3,129.7,198.0,177.5,218.5,440.3,522.2
Besancon,142.3,180.5,152.7,177.0,93.7,93.7,298.5,381.8,208.3,236.0,190.9,243.0,135.4,66.0,177.0,149.3,204.8,131.9,225.6,166.6,145.8,135.4,270.8,291.6
Bobigny,196.2,207.1,117.2,133.5,81.7,76.3,171.6,188.0,98.1,136.2,95.4,155.3,130.8,149.8,163.5,185.3,207.1,419.6,168.9,128.1,95.4,117.2,117.2,95.4
Bordeaux,84.0,74.3,174.5,100.2,113.1,71.1,303.7,245.6,106.6,64.6,148.6,161.6,142.2,138.9,181.0,226.2,213.3,216.5,226.2,281.1,54.9,67.9,223.0,226.2
Bourges,117.8,132.1,339.1,235.6,174.9,174.9,282.0,157.0,278.4,174.9,228.4,174.9,142.8,153.5,246.3,317.7,189.2,246.3,160.6,85.7,117.8,75.0,189.2,210.6
Carcassonne,113.4,56.7,247.7,232.8,77.6,77.6,208.9,232.8,280.6,191.0,217.9,122.4,113.4,101.5,143.3,98.5,211.9,226.8,244.7,143.3,113.4,134.3,304.4,161.2
Cergy_Pontoise,103.6,58.4,127.5,154.0,39.8,58.4,108.9,116.8,103.6,103.6,90.3,114.2,87.6,79.7,135.4,196.5,74.4,39.8,172.6,148.7,122.2,215.1,148.7,132.8
Chambery,95.8,63.8,60.7,38.3,137.3,73.4,159.6,242.6,54.3,67.0,70.2,92.6,130.9,67.0,143.7,86.2,127.7,162.8,99.0,102.2,76.6,79.8,140.5,76.6
Clermont_Ferrand,303.7,206.1,360.7,211.5,127.5,162.7,284.7,271.2,225.1,330.8,173.6,89.5,70.5,51.5,358.0,439.3,227.8,265.8,195.2,198.0,290.2,263.0,306.4,339.0
Creteil,222.5,259.6,145.3,163.8,46.4,61.8,204.0,120.5,89.6,114.3,102.0,111.3,92.7,105.1,302.9,352.3,241.1,380.1,216.3,176.2,71.1,83.4,275.1,216.3
Digne,186.8,358.1,218.0,118.3,193.1,199.3,255.4,137.0,196.2,236.7,124.6,174.4,121.4,112.1,351.9,270.9,383.0,379.9,361.2,227.3,149.5,102.8,264.7,470.2
Dijon,93.0,93.0,191.8,226.6,130.8,215.0,162.7,84.3,174.3,351.6,229.6,113.3,156.9,154.0,209.2,188.9,217.9,177.2,142.4,174.3,197.6,101.7,247.0,197.6
Evry,174.3,245.7,191.4,188.6,88.6,102.8,171.4,85.7,125.7,148.6,151.4,145.7,188.6,122.8,202.8,391.4,208.6,242.8,200.0,251.4,97.1,97.1,222.8,125.7
Foix,246.0,238.3,94.8,105.1,97.4,74.3,279.4,307.5,100.0,92.3,53.8,46.1,28.2,33.3,130.7,84.6,120.5,138.4,43.6,41.0,56.4,41.0,156.3,158.9
Grenoble,74.6,59.1,92.6,113.2,46.3,41.1,133.7,113.2,79.7,64.3,61.7,77.1,41.1,51.4,185.2,205.7,74.6,74.6,136.3,174.9,56.6,69.4,87.4,61.7
Lille,85.8,59.0,249.3,238.6,61.7,59.0,227.9,115.3,126.0,83.1,93.8,118.0,128.7,139.4,214.5,270.8,96.5,115.3,144.8,88.5,171.6,217.2,185.0,179.6
Limoges,278.8,206.5,344.2,302.9,148.0,127.4,220.3,154.9,158.3,199.7,103.3,55.1,189.3,168.7,227.2,237.5,241.0,192.8,130.8,68.8,223.7,223.7,313.2,309.8
Lyon,27.2,21.8,13.6,10.9,16.3,21.8,29.9,29.9,24.5,24.5,10.9,13.6,16.3,32.6,38.1,21.8,13.6,8.2,32.6,21.8,16.3,21.8,49.0,40.8
Marseille,229.3,335.5,142.4,166.5,190.7,171.4,352.4,586.5,275.2,379.0,123.1,79.7,185.9,219.6,214.8,176.2,248.6,386.2,224.5,243.8,72.4,50.7,371.7,427.2
Melun,147.5,300.3,216.0,158.0,63.2,100.1,205.4,231.8,81.6,65.8,179.1,110.6,71.1,42.1,152.8,300.3,155.4,150.1,152.8,113.3,57.9,68.5,194.9,334.5
Metz,148.2,108.8,163.3,184.4,108.8,133.0,172.3,223.7,178.4,353.7,111.9,193.5,72.6,51.4,263.0,235.8,72.6,57.4,205.6,226.8,63.5,39.3,178.4,124.0
Nimes,194.5,166.3,113.0,106.7,138.1,163.2,172.6,222.8,147.5,134.9,172.6,122.4,116.1,84.7,200.8,106.7,188.3,260.4,91.0,62.8,210.2,210.2,260.4,160.0
Nancy,6.0,3.0,9.1,6.0,9.1,6.0,39.2,45.3,9.1,9.1,3.0,0.0,3.0,3.0,15.1,21.1,9.1,12.1,3.0,3.0,3.0,3.0,24.2,15.1
Nanterre,101.8,62.9,182.7,230.6,119.8,119.8,149.7,122.8,137.7,122.8,89.8,131.8,62.9,59.9,218.6,251.5,143.7,80.8,68.9,68.9,53.9,59.9,251.5,323.4
Nantes,343.3,409.8,199.3,166.1,73.8,51.7,306.4,424.5,214.1,251.0,147.7,306.4,195.7,184.6,302.7,347.0,254.7,166.1,225.2,162.4,136.6,77.5,450.4,550.0
Nice,212.7,240.9,93.8,115.7,187.7,225.2,194.0,137.6,156.4,131.4,175.2,143.9,84.5,65.7,147.0,115.7,140.8,103.2,81.3,93.8,90.7,103.2,262.8,147.0
Perigueux,175.2,136.3,71.4,58.4,58.4,58.4,194.7,191.5,149.3,120.1,159.0,94.1,71.4,45.4,136.3,136.3,197.9,175.2,68.1,84.4,77.9,97.4,259.6,214.2
Paris_Nord,126.6,97.4,81.2,116.9,51.9,42.2,259.7,178.5,136.3,120.1,282.4,194.8,155.8,97.4,172.0,188.3,97.4,71.4,194.8,194.8,120.1,152.6,204.5,259.7
