Villes,O_Janvier,R_Janvier,O_Fevrier,R_Fevrier,O_Mars,R_Mars,O_Avril,R_Avril,O_Mai,R_Mai,O_Juin,R_Juin,O_Juillet,R_Juillet,O_Aout,R_Aout,O_Septembre,R_Septembre,O_Octobre,R_Octobre,O_Novembre,R_Novembre,O_Decembre,R_Decembre
Alencon,94.6,,60.4,,16.8,,110.9,,203.3,,264.8,,68.0,,192.3,,242.7,,237.1,,187.7,,6.4,
Amiens,218.8,,26.4,,35.4,,9.9,,292.5,,42.1,,0.0,,45.7,,258.1,,38.6,,129.2,,5.8,
Angers,228.5,,0.0,,255.0,,9.9,,61.0,,211.7,,146.2,,64.6,,36.2,,79.3,,91.9,,152.7,
Angouleme,144.7,,23.3,,99.6,,4.0,,8.8,,35.4,,42.0,,18.7,,57.0,,45.9,,103.8,,59.7,
Arras,21.2,,4.4,,248.6,,50.0,,0.0,,21.8,,339.3,,67.1,,25.8,,37.5,,52.0,,79.5,
Bastia,126.0,,277.4,,161.5,,106.4,,125.8,,6.0,,36.5,,358.1,,94.3,,87.2,,62.2,,55.6,
Besancon,41.7,,69.8,,115.4,,6.9,,233.4,,52.7,,254.9,,306.8,,131.2,,131.5,,27.9,,0.0,
Bobigny,228.4,,55.6,,35.7,,106.2,,23.4,,25.2,,21.1,,24.9,,116.3,,35.6,,77.4,,58.3,
Bordeaux,66.6,,199.7,,19.1,,433.0,,39.7,,5.6,,178.1,,70.6,,86.5,,0.0,,8.9,,280.2,
Bourges,365.3,,15.2,,296.4,,224.6,,35.7,,56.9,,123.1,,356.2,,294.7,,226.8,,348.5,,35.9,
Carcassonne,34.0,,292.3,,195.3,,60.1,,22.8,,121.9,,359.0,,258.0,,23.3,,258.9,,2.2,,38.5,
Cergy_Pontoise,158.4,,153.6,,124.2,,18.2,,46.2,,132.0,,16.2,,137.3,,44.5,,128.5,,50.7,,377.8,
Chambery,20.8,,211.2,,56.9,,8.8,,386.8,,0.0,,113.7,,42.6,,85.0,,12.8,,51.6,,74.0,
Clermont_Ferrand,72.5,,225.3,,212.7,,39.3,,230.1,,142.2,,161.3,,137.3,,203.1,,160.9,,60.4,,77.6,
Creteil,39.1,,8.6,,31.2,,157.3,,117.9,,55.7,,34.7,,10.9,,278.8,,32.2,,59.1,,1.1,
Digne,180.8,,159.5,,0.0,,351.2,,210.6,,22.9,,53.0,,52.0,,113.3,,38.4,,302.5,,147.7,
Dijon,93.0,,331.9,,160.2,,124.6,,374.7,,256.1,,19.2,,157.2,,94.8,,2.2,,49.4,,245.2,
Evry,35.9,,9.3,,11.9,,12.9,,143.7,,166.1,,169.0,,38.4,,119.6,,97.3,,325.3,,119.2,
Foix,1.1,,255.5,,144.8,,252.4,,200.0,,139.9,,147.3,,44.4,,180.7,,165.9,,99.8,,41.7,
Grenoble,35.8,,18.5,,3.4,,8.9,,208.8,,380.0,,240.2,,436.5,,297.8,,19.2,,208.1,,7.7,
Lille,363.9,,9.1,,215.4,,69.1,,0.0,,314.2,,46.7,,1.1,,356.1,,141.0,,195.9,,309.7,
Limoges,314.6,,88.3,,224.6,,311.0,,169.1,,83.7,,216.4,,124.7,,180.1,,137.9,,15.4,,330.4,
Lyon,9.9,,70.0,,279.2,,168.6,,82.1,,165.4,,307.2,,90.9,,164.4,,3.6,,46.5,,16.4,
Marseille,366.4,,28.8,,194.2,,1.1,,22.6,,5.8,,67.5,,119.6,,26.1,,78.4,,96.9,,361.4,
Melun,149.5,,0.0,,129.5,,32.3,,44.5,,194.1,,56.9,,157.5,,210.3,,190.5,,145.5,,92.2,
Metz,6.8,,79.1,,60.0,,68.3,,121.6,,10.3,,429.2,,16.9,,22.8,,48.0,,245.2,,24.9,
Nimes,18.0,,5.1,,216.4,,29.4,,347.6,,0.0,,0.0,,218.4,,8.6,,206.2,,23.2,,32.6,
Nancy,10.1,,97.5,,14.0,,54.5,,163.9,,196.7,,70.7,,16.6,,149.7,,106.8,,363.4,,14.1,
