Villes,O_Janvier,R_Janvier,O_Fevrier,R_Fevrier,O_Mars,R_Mars,O_Avril,R_Avril,O_Mai,R_Mai,O_Juin,R_Juin,O_Juillet,R_Juillet,O_Aout,R_Aout,O_Septembre,R_Septembre,O_Octobre,R_Octobre,O_Novembre,R_Novembre,O_Decembre,R_Decembre
Alencon,0.4,0.4,0.65,0.7,0.25,0.3,0.7,0.6,0.24,0.5,0.33,0.5,0.45,0.4,0.21,0.3,0.37,0.4,0.39,0.3,0.35,0.3,0.94,0.9
Amiens,0.48,0.6,1.9,0.9,0.8,0.5,0.71,1.0,2.14,1.0,1.0,1.0,1.21,1.0,0.58,0.6,0.79,0.5,0.33,0.6,3.13,1.5,0.87,1.2
Angers,0.43,0.6,0.98,0.8,0.89,0.9,0.52,0.4,0.63,0.5,1.08,0.9,0.24,0.4,1.22,1.4,0.91,0.8,0.24,0.4,0.7,1.0,0.32,0.3
Angouleme,1.21,1.1,0.98,1.9,0.56,0.9,1.15,1.0,0.84,1.5,0.41,0.7,0.82,1.3,0.59,0.9,0.7,1.1,2.22,1.8,2.02,1.0,2.02,1.6
Arras,1.93,1.9,1.94,1.7,1.78,1.7,1.05,0.9,1.45,1.3,0.99,0.9,2.92,3.5,0.55,0.8,1.84,2.0,0.74,1.3,0.83,1.2,0.92,1.8
Bastia,1.0,1.5,1.0,1.5,2.69,2.1,1.13,2.1,1.68,1.8,2.44,2.3,2.5,3.1,2.47,2.9,2.33,2.0,3.11,4.5,3.2,3.1,1.87,1.7
Besancon,2.41,1.9,2.17,2.1,3.29,2.9,1.91,1.5,6.22,5.2,1.6,1.5,1.31,2.2,3.29,2.6,4.25,2.9,1.39,2.5,3.68,3.6,1.28,1.0
Bobigny,2.54,2.6,1.05,1.0,0.67,1.2,0.6,0.7,0.8,0.8,0.79,1.1,1.15,1.0,1.05,1.7,1.71,1.9,1.4,1.4,2.12,2.0,0.77,1.1
Bordeaux,2.67,2.3,3.94,3.2,1.01,0.9,1.15,1.2,0.72,1.1,1.58,1.7,1.78,1.5,0.43,0.8,1.96,2.0,1.6,1.8,3.47,1.9,1.51,1.2
Bourges,1.01,1.3,1.59,1.7,1.31,1.2,1.03,1.0,2.84,1.7,0.91,1.0,0.96,0.9,1.84,0.9,0.42,0.7,0.9,0.6,1.15,0.8,1.02,0.6
Carcassonne,0.21,0.3,0.59,0.6,0.26,0.3,0.82,0.4,0.36,0.7,0.39,0.4,0.72,0.6,0.38,0.5,0.57,0.5,0.9,0.8,0.34,0.4,0.92,0.7
Cergy_Pontoise,1.26,1.7,4.49,4.0,1.86,1.2,0.97,1.1,1.83,1.5,1.87,1.7,1.67,1.6,3.08,2.3,2.55,2.2,1.78,1.6,2.62,3.3,5.84,4.3
Chambery,3.52,3.8,0.9,1.2,2.69,3.1,1.08,1.0,1.07,1.1,0.77,1.2,1.62,1.5,3.0,2.4,4.23,3.3,0.8,1.5,1.67,1.5,1.25,1.9
Clermont_Ferrand,2.06,2.3,1.87,2.2,1.76,1.5,1.13,1.7,1.75,3.2,1.88,2.6,1.38,2.4,4.06,3.0,2.87,3.1,3.78,3.1,2.28,4.4,-0.12,-0.1
Creteil,1.7,2.2,1.74,1.4,3.53,1.8,1.96,2.7,0.97,1.7,1.95,1.1,2.96,2.5,1.73,1.9,3.13,2.7,1.99,2.3,2.08,2.9,1.64,1.4
Digne,1.28,1.2,1.08,1.3,1.99,1.8,1.23,2.4,3.52,2.2,2.39,2.7,1.65,1.3,1.38,2.4,0.94,1.8,1.74,1.3,2.57,2.9,2.33,2.0
Dijon,0.93,0.7,0.55,0.6,0.49,0.4,0.58,0.7,0.67,0.9,0.56,0.8,1.26,1.9,0.37,0.5,1.15,0.9,1.21,1.8,0.12,0.2,0.4,0.6
Evry,0.59,0.7,1.99,1.1,0.94,0.7,0.63,0.7,1.38,1.3,0.47,0.5,0.36,0.6,1.68,1.5,2.09,1.2,0.77,0.8,0.61,0.6,1.01,1.7
Foix,1.31,2.1,2.48,1.3,2.75,2.7,1.31,1.3,1.9,2.1,3.57,2.2,0.68,1.3,2.8,1.9,3.21,2.8,4.25,4.3,0.65,0.8,0.76,1.4
Grenoble,0.14,0.1,0.18,0.2,0.34,0.3,0.28,0.3,0.08,0.2,0.69,0.6,0.16,0.3,0.24,0.3,0.16,0.2,0.18,0.2,0.31,0.4,0.48,0.5
Lille,0.48,0.9,0.99,1.0,0.3,0.5,0.61,0.5,0.52,0.9,0.59,0.6,0.95,1.1,1.59,0.8,1.74,1.7,0.74,0.7,0.67,0.7,0.57,0.7
Limoges,1.07,0.7,1.85,1.1,0.59,0.6,1.84,1.2,0.89,0.7,0.87,1.7,0.6,1.0,1.02,1.4,1.14,1.5,0.69,1.0,1.06,1.3,2.09,1.7
Lyon,0.51,0.6,1.22,0.9,0.76,0.8,1.58,1.8,0.42,0.8,0.77,1.1,2.18,1.5,2.64,1.8,1.49,1.4,0.29,0.4,1.53,1.5,-0.01,0.0
