Villes,O_Janvier,R_Janvier,O_Fevrier,R_Fevrier,O_Mars,R_Mars,O_Avril,R_Avril,O_Mai,R_Mai,O_Juin,R_Juin,O_Juillet,R_Juillet,O_Aout,R_Aout,O_Septembre,R_Septembre,O_Octobre,R_Octobre,O_Novembre,R_Novembre,O_Decembre,R_Decembre
Alencon,-0.55,,0.0,,2.52,,0.15,,-0.74,,3.91,,1.36,,-0.29,,-0.79,,-0.36,,2.83,,0.31,
Amiens,2.73,,0.02,,0.02,,0.65,,3.86,,0.75,,0.23,,-1.92,,0.09,,0.57,,0.68,,0.48,
Angers,-0.02,,2.21,,0.0,,0.05,,2.29,,-0.6,,1.98,,1.7,,-0.5,,1.81,,1.45,,0.0,
Angouleme,0.85,,0.97,,0.19,,-0.78,,2.91,,-0.76,,0.0,,-0.84,,-1.19,,0.75,,-0.1,,3.97,
Arras,0.38,,-1.58,,0.67,,0.0,,0.51,,1.08,,-0.02,,-0.24,,0.8,,0.68,,2.49,,-1.13,
Bastia,-0.66,,0.0,,0.19,,-1.29,,1.21,,0.95,,0.0,,2.51,,0.99,,0.11,,-0.68,,-0.43,
Besancon,4.08,,0.0,,0.46,,0.37,,1.42,,1.11,,1.77,,-0.47,,0.56,,2.82,,0.0,,0.76,
Bobigny,-0.06,,-0.91,,0.83,,0.61,,0.0,,-1.16,,-0.6,,0.19,,0.0,,0.0,,-0.32,,-0.42,
Bordeaux,1.12,,0.67,,0.1,,-0.13,,1.49,,-0.84,,2.4,,0.0,,0.22,,0.84,,0.0,,0.31,
Bourges,0.55,,3.44,,-0.85,,0.0,,-0.29,,2.07,,1.76,,3.49,,0.54,,-0.35,,0.0,,1.22,
Carcassonne,0.07,,1.58,,-0.07,,0.8,,-0.67,,-0.24,,0.94,,0.0,,0.0,,0.95,,0.0,,1.62,
Cergy_Pontoise,3.43,,1.71,,-0.58,,-1.53,,0.95,,-0.04,,3.96,,0.82,,0.0,,4.42,,0.0,,0.0,
Chambery,0.24,,0.84,,0.0,,0.92,,1.11,,-0.85,,0.21,,0.2,,0.62,,0.68,,0.59,,4.0,
Clermont_Ferrand,0.0,,0.17,,4.85,,-0.52,,1.27,,0.0,,0.0,,2.55,,-0.63,,0.58,,-1.8,,0.68,
Creteil,1.02,,2.3,,0.28,,1.49,,1.47,,0.34,,1.2,,1.98,,0.04,,0.16,,2.25,,1.03,
Digne,-1.57,,0.0,,1.64,,0.15,,-0.3,,0.08,,-0.88,,3.85,,0.0,,0.51,,3.77,,-0.39,
Dijon,0.0,,1.11,,2.41,,-0.97,,0.31,,3.14,,1.94,,0.0,,0.96,,-0.64,,0.87,,-0.09,
Evry,1.96,,-1.81,,-0.64,,0.95,,4.37,,0.08,,0.47,,-0.57,,1.67,,0.04,,0.55,,0.0,
Foix,0.0,,0.67,,0.28,,3.2,,-0.2,,3.97,,1.95,,0.0,,1.56,,1.45,,-0.93,,-1.87,
Grenoble,1.79,,-0.75,,0.77,,4.3,,1.29,,-1.46,,0.56,,0.0,,3.29,,0.16,,-0.98,,0.0,
Lille,1.08,,-1.34,,-0.47,,-0.87,,1.2,,0.0,,0.91,,0.87,,0.47,,0.2,,1.89,,0.28,
Limoges,3.92,,-0.94,,-0.53,,-1.66,,0.31,,2.46,,3.42,,-0.99,,0.23,,4.8,,3.4,,1.09,
Lyon,4.49,,1.88,,0.0,,-0.77,,3.39,,0.0,,0.57,,0.03,,0.8,,1.69,,1.23,,2.32,
Marseille,1.2,,-1.83,,-0.41,,0.55,,0.0,,0.05,,-0.35,,0.41,,0.0,,0.78,,0.65,,-1.84,
Melun,0.83,,0.0,,-0.96,,-0.95,,0.48,,3.53,,-0.87,,0.69,,0.87,,1.8,,1.35,,0.0,
