Villes,O_mois,R_mois
Alencon,-1.6,1.26
Amiens,0.52,-0.31
Angers,-0.63,1.67
Angouleme,0.25,0.0
Arras,-1.49,1.16
Bastia,0.0,0.0
Besancon,1.71,0.86
Bobigny,2.41,-0.79
Bordeaux,-0.8,-1.92
Bourges,0.27,1.9
Carcassonne,-0.8,0.26
Cergy_Pontoise,-0.53,2.63
Chambery,1.67,-0.74
Clermont_Ferrand,-1.83,4.37
Creteil,0.0,-0.69
Digne,-0.57,4.7
Dijon,0.48,-0.2
Evry,0.0,1.13
Foix,0.14,0.29
Grenoble,0.0,0.0
Lille,-1.18,0.49
Limoges,0.49,0.91
Lyon,0.82,-1.53
Marseille,2.68,2.41
Melun,0.67,4.14
Metz,2.48,0.92
Nimes,-0.99,0.61
Nancy,0.39,0.66
Nanterre,2.21,3.59
Nantes,-0.09,0.06
Nice,0.32,-1.6
Perigueux,0.0,-0.6
Paris_Nord,-0.37,-0.82
Paris_Sud,-0.34,0.88
Pau,3.45,0.0
Quimper,2.71,1.7
Rodez,0.31,0.0
Rouen,-0.51,0.4
St_Brieuc,0.77,-0.8
St_Etienne,0.39,1.84
Strasbourg,1.33,0.8
Tarbes,0.2,-0.55
Toulon,-0.18,-0.07
Tours,0.27,-0.53
Troyes,0.4,1.4
Valence,0.17,-1.8
Valenciennes,0.81,0.0
Versailles,1.17,-0.07
