Villes,O_Janvier,R_Janvier,O_Fevrier,R_Fevrier,O_Mars,R_Mars,O_Avril,R_Avril,O_Mai,R_Mai,O_Juin,R_Juin,O_Juillet,R_Juillet,O_Aout,R_Aout,O_Septembre,R_Septembre,O_Octobre,R_Octobre,O_Novembre,R_Novembre,O_Decembre,R_Decembre
Alencon,3.4,,-1.27,,0.0,,0.0,,0.88,,-0.34,,2.41,,1.23,,2.56,,0.35,,0.0,,-0.52,
Amiens,2.01,,4.81,,4.2,,2.28,,0.54,,2.0,,-0.76,,1.34,,0.73,,-0.92,,0.35,,1.72,
Angers,0.0,,-0.03,,0.71,,-0.61,,0.58,,-0.33,,-0.69,,2.7,,2.77,,0.79,,-0.38,,1.54,
Angouleme,0.93,,0.02,,0.95,,0.46,,0.0,,2.63,,3.07,,2.89,,1.02,,2.35,,-1.88,,-0.88,
Arras,-1.7,,3.68,,0.0,,0.55,,2.2,,1.5,,1.4,,2.96,,0.47,,2.51,,1.15,,2.92,
Bastia,-0.29,,1.52,,-0.26,,0.71,,2.06,,-0.05,,-0.25,,-1.0,,0.0,,0.23,,0.26,,0.0,
Besancon,3.69,,0.52,,0.56,,0.34,,1.32,,1.43,,-0.77,,1.99,,2.85,,0.54,,-1.43,,0.0,
Bobigny,2.79,,1.33,,0.77,,0.34,,0.91,,0.42,,1.56,,-0.57,,0.91,,2.25,,-0.73,,-0.89,
Bordeaux,0.0,,-0.56,,1.26,,0.0,,0.81,,0.04,,0.4,,2.14,,0.72,,0.56,,0.85,,0.0,
Bourges,3.44,,0.65,,0.0,,-0.19,,2.9,,0.0,,0.24,,2.21,,0.44,,1.14,,1.8,,0.93,
Carcassonne,0.95,,1.49,,1.74,,0.02,,-0.22,,-0.88,,2.85,,0.98,,3.52,,1.16,,2.06,,0.07,
Cergy_Pontoise,0.0,,0.0,,2.0,,3.51,,1.66,,1.99,,4.84,,0.24,,0.11,,-0.86,,0.92,,0.0,
Chambery,0.0,,0.7,,-1.64,,2.67,,3.65,,-0.13,,1.82,,4.35,,1.22,,2.12,,2.09,,0.0,
