Villes,O_mois,R_mois
Alencon,0.56,-0.09
Amiens,-1.7,-0.73
Angers,0.58,0.85
Angouleme,-0.6,0.97
Arras,-0.12,0.6
Bastia,0.89,-0.25
Besancon,2.86,0.0
Bobigny,2.63,3.78
Bordeaux,1.85,2.44
Bourges,1.53,-1.22
Carcassonne,0.0,0.79
Cergy_Pontoise,3.75,1.94
Chambery,0.45,2.6
Clermont_Ferrand,1.15,1.31
Creteil,-1.92,1.65
Digne,0.0,2.42
Dijon,-0.15,0.26
Evry,0.0,0.94
Foix,0.98,1.51
Grenoble,-0.37,0.8
Lille,-0.91,0.94
Limoges,0.0,0.0
Lyon,0.0,1.21
Marseille,0.62,0.87
Melun,0.0,-0.3
Metz,1.29,0.7
Nimes,0.0,0.09
Nancy,1.99,2.42
Nanterre,1.56,0.96
Nantes,0.0,-0.38
Nice,-0.57,1.67
Perigueux,-0.82,0.0
Paris_Nord,-0.48,2.65
Paris_Sud,0.02,2.76
Pau,-0.76,0.0
Quimper,-0.49,0.0
Rodez,0.77,0.0
Rouen,1.69,1.31
St_Brieuc,1.54,0.38
St_Etienne,0.6,-0.79
Strasbourg,1.61,0.28
Tarbes,-0.67,1.71
Toulon,4.9,0.0
Tours,0.85,0.0
Troyes,1.47,-0.87
Valence,0.37,-0.25
Valenciennes,-0.96,0.24
Versailles,0.57,0.0
