Villes,O_Janvier,R_Janvier,O_Fevrier,R_Fevrier,O_Mars,R_Mars,O_Avril,R_Avril,O_Mai,R_Mai,O_Juin,R_Juin,O_Juillet,R_Juillet,O_Aout,R_Aout,O_Septembre,R_Septembre,O_Octobre,R_Octobre,O_Novembre,R_Novembre,O_Decembre,R_Decembre
Alencon,115,,144,,35,,42,,7,,19,,92,,119,,146,,122,,13,,95,
Amiens,87,,76,,27,,127,,86,,62,,115,,34,,54,,65,,28,,134,
Angers,11,,85,,87,,125,,118,,143,,9,,139,,110,,50,,100,,27,
Angouleme,127,,124,,121,,126,,14,,19,,114,,28,,135,,14,,50,,43,
Arras,120,,17,,148,,31,,135,,26,,141,,64,,118,,46,,70,,108,
Bastia,42,,24,,39,,112,,76,,35,,110,,54,,4,,12,,119,,31,
Besancon,38,,33,,83,,74,,39,,90,,120,,117,,119,,9,,124,,75,
Bobigny,10,,149,,107,,110,,59,,57,,63,,45,,127,,99,,9,,85,
Bordeaux,72,,143,,102,,100,,68,,140,,142,,22,,131,,113,,59,,80,
Bourges,136,,39,,94,,0,,126,,35,,51,,38,,66,,36,,86,,37,
Carcassonne,0,,58,,80,,11,,118,,81,,52,,67,,130,,75,,10,,73,
Cergy_Pontoise,14,,146,,37,,51,,145,,16,,54,,78,,76,,54,,117,,59,
Chambery,24,,7,,34,,125,,64,,6,,31,,64,,69,,119,,35,,111,
Clermont_Ferrand,46,,103,,77,,72,,34,,21,,87,,92,,123,,62,,13,,50,
Creteil,116,,19,,66,,106,,110,,56,,147,,91,,136,,111,,11,,80,
Digne,57,,5,,136,,61,,93,,1,,20,,39,,145,,105,,30,,138,
Dijon,111,,0,,5,,11,,135,,61,,79,,117,,38,,61,,93,,147,
Evry,125,,36,,15,,36,,78,,16,,145,,123,,89,,109,,121,,18,
Foix,110,,74,,17,,57,,23,,92,,72,,140,,34,,67,,53,,86,
Grenoble,48,,12,,51,,92,,111,,55,,28,,107,,146,,66,,88,,34,
Lille,63,,122,,61,,120,,5,,32,,16,,21,,3,,120,,102,,67,
Limoges,3,,129,,43,,52,,113,,66,,3,,25,,131,,114,,89,,21,
Lyon,142,,79,,141,,104,,18,,38,,113,,64,,142,,44,,41,,114,
Marseille,81,,24,,135,,13,,101,,146,,125,,86,,124,,11,,20,,38,
Melun,124,,82,,36,,70,,7,,149,,125,,88,,119,,2,,107,,24,
Metz,51,,58,,64,,127,,33,,106,,89,,21,,9,,61,,115,,72,
Nimes,150,,51,,141,,58,,56,,64,,134,,54,,79,,39,,10,,112,
Nancy,113,,32,,121,,12,,102,,51,,54,,64,,66,,42,,134,,72,
Nanterre,129,,138,,73,,31,,130,,86,,39,,79,,32,,30,,6,,134,
Nantes,134,,52,,150,,57,,68,,141,,122,,115,,4,,92,,82,,93,
Nice,15,,125,,111,,12,,143,,59,,93,,54,,33,,89,,41,,127,
Perigueux,133,,97,,53,,46,,41,,11,,148,,98,,28,,120,,11,,31,
Paris_Nord,104,,34,,73,,69,,44,,22,,7,,18,,91,,115,,70,,56,
Paris_Sud,5,,46,,128,,92,,45,,73,,147,,10,,68,,131,,89,,10,
Pau,147,,147,,114,,62,,109,,94,,15,,49,,64,,97,,4,,145,
Quimper,126,,22,,99,,55,,98,,49,,13,,99,,143,,129,,30,,2,
Rodez,104,,26,,133,,114,,75,,35,,13,,147,,105,,103,,106,,74,
Rouen,78,,71,,76,,39,,150,,96,,108,,32,,5,,127,,23,,72,
St_Brieuc,16,,9,,14,,29,,14,,128,,13,,137,,28,,49,,14,,69,
St_Etienne,19,,84,,72,,95,,124,,31,,150,,30,,94,,32,,100,,12,
Strasbourg,24,,80,,82,,77,,33,,31,,124,,139,,45,,118,,14,,33,
Tarbes,131,,55,,149,,58,,100,,27,,109,,84,,136,,74,,26,,36,
Toulon,80,,24,,24,,41,,110,,66,,23,,21,,67,,1,,138,,3,
Tours,97,,111,,55,,29,,127,,127,,104,,117,,1,,21,,40,,125,
Troyes,14,,75,,31,,87,,138,,40,,72,,137,,113,,82,,87,,147,
Valence,125,,3,,76,,123,,82,,123,,120,,22,,138,,25,,108,,5,
Valenciennes,40,,38,,55,,75,,126,,70,,149,,39,,131,,121,,150,,47,
Versailles,84,,102,,89,,37,,72,,109,,75,,18,,96,,115,,27,,117,
