Villes,O_mois,R_mois
Alencon,48,41
Amiens,19,46
Angers,12,29
Angouleme,37,0
Arras,41,36
Bastia,10,3
Besancon,25,20
Bobigny,40,30
Bordeaux,1,1
Bourges,18,44
Carcassonne,12,33
Cergy_Pontoise,23,15
Chambery,4,17
Clermont_Ferrand,2,12
Creteil,47,16
Digne,27,38
Dijon,17,7
Evry,1,31
Foix,12,46
Grenoble,11,44
Lille,33,19
Limoges,1,22
Lyon,7,12
Marseille,45,33
Melun,35,29
Metz,17,6
Nimes,1,41
Nancy,42,22
Nanterre,12,8
Nantes,16,10
Nice,42,15
Perigueux,1,12
Paris_Nord,48,35
Paris_Sud,40,3
Pau,23,26
Quimper,5,48
Rodez,5,50
Rouen,18,27
St_Brieuc,0,27
St_Etienne,43,28
Strasbourg,1,28
Tarbes,21,4
Toulon,7,25
Tours,8,21
Troyes,14,0
Valence,48,12
Valenciennes,41,0
Versailles,24,26
