Villes,O_Janvier,R_Janvier,O_Fevrier,R_Fevrier,O_Mars,R_Mars,O_Avril,R_Avril,O_Mai,R_Mai,O_Juin,R_Juin,O_Juillet,R_Juillet,O_Aout,R_Aout,O_Septembre,R_Septembre,O_Octobre,R_Octobre,O_Novembre,R_Novembre,O_Decembre,R_Decembre
Alencon,53,,23,,34,,13,,26,,7,,36,,32,,18,,28,,5,,46,
Amiens,34,,18,,13,,32,,52,,0,,65,,9,,57,,20,,66,,75,
Angers,57,,38,,71,,67,,72,,68,,51,,45,,79,,44,,80,,78,
Angouleme,77,,34,,31,,70,,16,,71,,33,,13,,71,,30,,57,,38,
Arras,64,,43,,31,,15,,72,,61,,42,,77,,25,,57,,72,,65,
Bastia,6,,71,,79,,46,,71,,79,,27,,41,,66,,64,,31,,32,
Besancon,65,,49,,25,,66,,6,,57,,11,,0,,1,,14,,9,,64,
Bobigny,41,,9,,73,,64,,34,,47,,78,,9,,56,,25,,41,,44,
Bordeaux,74,,63,,5,,17,,28,,39,,79,,65,,72,,42,,73,,56,
Bourges,7,,11,,1,,37,,68,,51,,79,,14,,15,,38,,62,,37,
Carcassonne,62,,12,,9,,62,,37,,42,,20,,50,,72,,51,,63,,27,
Cergy_Pontoise,22,,16,,74,,54,,75,,29,,25,,16,,13,,67,,67,,51,
Chambery,57,,26,,5,,1,,10,,52,,74,,56,,7,,2,,16,,6,
Clermont_Ferrand,28,,23,,23,,79,,30,,79,,41,,44,,50,,19,,53,,59,
Creteil,65,,23,,68,,54,,56,,58,,8,,71,,13,,69,,69,,48,
Digne,12,,14,,37,,56,,9,,19,,61,,11,,14,,22,,76,,19,
Dijon,48,,72,,61,,59,,57,,36,,45,,22,,20,,56,,44,,15,
Evry,70,,65,,80,,24,,50,,73,,26,,59,,77,,79,,31,,68,
Foix,61,,26,,19,,80,,36,,49,,70,,18,,68,,63,,62,,79,
Grenoble,46,,62,,65,,10,,36,,68,,21,,62,,47,,13,,62,,60,
Lille,16,,54,,57,,19,,77,,5,,25,,15,,79,,0,,22,,48,
Limoges,74,,43,,20,,9,,29,,61,,79,,35,,72,,35,,20,,5,
Lyon,65,,61,,70,,40,,29,,16,,75,,54,,3,,58,,27,,54,
Marseille,44,,60,,38,,6,,57,,19,,56,,70,,2,,12,,60,,78,
Melun,20,,62,,64,,50,,45,,70,,71,,46,,28,,25,,77,,8,
Metz,56,,0,,45,,15,,80,,79,,7,,44,,33,,40,,44,,58,
Nimes,64,,59,,54,,54,,78,,55,,36,,75,,50,,24,,59,,20,
Nancy,3,,77,,6,,41,,48,,57,,41,,76,,31,,80,,66,,23,
Nanterre,78,,46,,2,,51,,21,,55,,53,,61,,79,,0,,38,,25,
Nantes,11,,39,,32,,76,,42,,66,,0,,43,,62,,3,,45,,74,
Nice,76,,5,,58,,52,,45,,32,,7,,61,,62,,44,,51,,74,
Perigueux,56,,60,,78,,14,,57,,77,,19,,76,,63,,43,,52,,57,
Paris_Nord,30,,6,,23,,3,,22,,32,,69,,12,,54,,78,,56,,14,
Paris_Sud,16,,45,,7,,18,,41,,22,,6,,79,,60,,21,,62,,54,
Pau,10,,7,,6,,41,,21,,35,,74,,7,,49,,33,,57,,28,
Quimper,4,,33,,61,,80,,28,,60,,21,,8,,12,,35,,3,,27,
Rodez,36,,32,,42,,65,,71,,54,,28,,34,,66,,57,,37,,5,
Rouen,37,,24,,46,,0,,22,,23,,24,,57,,6,,51,,70,,52,
St_Brieuc,58,,33,,16,,53,,45,,38,,74,,77,,76,,76,,37,,48,
St_Etienne,56,,54,,38,,5,,25,,24,,23,,58,,64,,38,,7,,14,
Strasbourg,65,,11,,32,,10,,38,,57,,57,,0,,77,,22,,51,,3,
Tarbes,24,,32,,9,,6,,57,,77,,70,,28,,79,,42,,68,,20,
Toulon,48,,8,,46,,14,,5,,18,,35,,74,,60,,48,,72,,68,
Tours,40,,7,,55,,51,,32,,7,,15,,38,,74,,80,,57,,16,
Troyes,38,,62,,72,,46,,44,,10,,20,,40,,47,,17,,11,,54,
Valence,39,,1,,57,,72,,48,,11,,8,,73,,14,,32,,67,,70,
Valenciennes,18,,47,,9,,8,,16,,5,,53,,75,,40,,20,,11,,75,
Versailles,14,,56,,13,,23,,5,,75,,59,,46,,73,,79,,3,,44,
