Villes,O_Janvier,R_Janvier,O_Fevrier,R_Fevrier,O_Mars,R_Mars,O_Avril,R_Avril,O_Mai,R_Mai,O_Juin,R_Juin,O_Juillet,R_Juillet,O_Aout,R_Aout,O_Septembre,R_Septembre,O_Octobre,R_Octobre,O_Novembre,R_Novembre,O_Decembre,R_Decembre
Alencon,0.66,0.9,1.64,1.4,1.16,1.4,1.27,1.6,2.46,2.0,1.12,1.1,0.86,0.8,0.78,0.8,1.29,1.0,1.0,1.4,2.08,1.9,0.61,0.6
Amiens,1.95,1.5,1.33,1.0,0.65,0.8,0.98,1.2,1.66,1.7,1.73,2.9,1.15,0.9,0.54,0.8,0.77,0.9,1.97,1.9,0.73,1.2,1.75,2.6
Angers,0.01,0.0,0.01,0.0,-0.02,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Angouleme,0.29,0.2,0.18,0.2,0.27,0.2,0.04,0.1,0.21,0.2,0.16,0.2,0.12,0.1,0.06,0.1,0.04,0.1,0.1,0.1,0.08,0.1,0.11,0.1
Arras,0.5,0.4,0.13,0.2,0.34,0.2,0.67,0.6,0.09,0.2,0.54,0.5,0.29,0.6,0.11,0.2,0.12,0.2,0.26,0.3,0.46,0.4,0.19,0.2
Bastia,0.42,0.2,0.41,0.3,0.97,0.9,0.71,0.7,0.44,0.4,0.44,0.7,0.21,0.3,0.51,0.3,0.17,0.2,0.18,0.3,0.12,0.1,0.48,0.3
Besancon,0.19,0.2,0.35,0.3,0.29,0.4,0.42,0.5,0.24,0.4,0.35,0.6,0.27,0.3,0.86,0.4,0.45,0.5,0.47,0.5,0.37,0.5,0.42,0.5
Bobigny,1.13,1.6,1.03,1.0,0.74,0.6,1.85,1.0,1.18,0.6,0.6,0.8,0.3,0.5,0.61,0.7,2.29,1.2,0.51,0.8,0.39,0.8,1.2,1.4
Bordeaux,0.59,0.6,0.77,0.6,1.46,1.3,0.72,0.6,0.45,0.6,1.26,1.0,0.81,1.2,2.6,1.6,0.71,1.3,1.03,1.1,1.23,1.1,0.69,0.7
Bourges,0.44,0.5,0.45,0.6,0.46,0.7,0.37,0.4,0.36,0.5,0.88,1.2,1.12,0.6,0.48,0.4,0.46,0.4,0.19,0.3,0.32,0.4,0.53,0.8
Carcassonne,1.44,1.1,0.62,0.9,1.42,1.2,1.99,1.9,0.94,1.7,1.12,1.1,1.1,1.1,0.9,1.1,2.51,3.0,1.31,1.1,1.15,1.0,1.19,1.6
Cergy_Pontoise,4.18,3.4,2.82,2.2,0.99,0.9,1.08,0.9,1.32,2.3,1.43,1.6,0.68,1.0,1.6,1.7,1.22,1.6,1.98,1.9,2.74,2.9,2.67,2.4
Chambery,1.78,2.3,2.78,3.3,1.21,1.1,2.42,3.4,1.1,2.2,2.24,2.2,3.34,2.0,1.66,2.9,1.71,1.9,1.55,1.5,1.71,1.8,0.74,1.1
Clermont_Ferrand,1.08,1.6,1.37,2.1,3.21,3.2,2.68,2.8,2.09,1.9,2.68,2.8,1.41,1.2,1.71,1.3,2.28,2.2,2.2,1.7,1.93,2.2,9.06,5.9
Creteil,1.04,0.9,0.99,0.9,2.79,2.3,2.25,3.0,1.01,1.4,1.95,1.9,0.82,0.9,2.07,1.7,0.9,1.8,1.79,1.8,1.45,1.7,1.47,1.6
Digne,1.09,0.9,2.05,1.8,2.18,3.0,1.08,1.7,0.78,0.8,2.43,1.6,1.34,1.6,3.11,1.7,2.31,1.3,0.96,1.0,0.84,1.6,1.14,0.9
Dijon,1.58,2.2,2.99,3.0,2.51,2.1,1.1,1.3,2.25,3.4,0.61,1.2,5.31,2.6,2.52,4.1,3.7,2.3,1.77,2.2,2.56,3.6,0.04,0.1
Evry,7.82,4.7,0.89,1.7,1.27,2.0,5.72,5.0,1.88,1.8,1.97,1.5,1.29,1.1,4.14,4.8,1.8,1.4,1.71,1.4,0.96,1.9,2.66,2.8
Foix,2.69,3.6,2.03,1.6,0.73,1.1,1.82,3.4,1.42,1.1,2.84,2.5,0.56,1.1,1.96,2.4,2.14,1.7,1.9,1.8,6.23,3.6,0.0,0.0
