Villes,O_mois,R_mois
Alencon,9,57.0
Amiens,58,54.0
Angers,63,82.0
Angouleme,142,8.0
Arras,133,69.0
Bastia,48,88.0
Besancon,110,0.0
Bobigny,91,51.0
Bordeaux,7,24.0
Bourges,65,116.0
Carcassonne,37,
Cergy_Pontoise,45,11.0
Chambery,144,74.0
Clermont_Ferrand,4,55.0
Creteil,9,119.0
Digne,94,122.0
Dijon,86,146.0
Evry,109,16.0
Foix,75,123.0
Grenoble,76,85.0
Lille,142,115.0
Limoges,75,92.0
Lyon,116,120.0
Marseille,36,149.0
Melun,2,105.0
Metz,58,142.0
Nimes,97,87.0
Nancy,108,6.0
Nanterre,28,104.0
Nantes,27,57.0
Nice,128,98.0
Perigueux,62,92.0
Paris_Nord,129,52.0
Paris_Sud,5,53.0
Pau,144,90.0
Quimper,95,90.0
Rodez,128,47.0
Rouen,12,98.0
St_Brieuc,125,93.0
St_Etienne,58,35.0
Strasbourg,83,142.0
Tarbes,19,58.0
Toulon,81,118.0
Tours,61,147.0
Troyes,60,55.0
Valence,125,17.0
Valenciennes,73,137.0
Versailles,109,53.0
