Villes,O_Janvier,R_Janvier,O_Fevrier,R_Fevrier,O_Mars,R_Mars,O_Avril,R_Avril,O_Mai,R_Mai,O_Juin,R_Juin,O_Juillet,R_Juillet,O_Aout,R_Aout,O_Septembre,R_Septembre,O_Octobre,R_Octobre,O_Novembre,R_Novembre,O_Decembre,R_Decembre
Alencon,36,73,33,34,8,8,40,51,25,33,38,23,19,39,47,63,24,23,28,21,27,33,37,39
Amiens,47,52,20,20,38,45,41,59,20,20,30,43,21,19,48,38,48,54,31,31,10,9,45,45
Angers,5,5,15,18,7,8,10,14,6,10,5,6,4,4,9,15,10,16,6,12,5,4,10,9
Angouleme,43,33,22,25,14,18,43,46,32,18,27,23,14,29,45,43,20,21,46,44,20,17,32,42
Arras,44,31,37,39,24,21,33,27,24,18,35,51,31,46,46,38,17,22,38,26,31,37,37,43
Bastia,34,20,14,22,9,14,36,23,11,7,17,19,8,13,31,32,25,32,27,29,10,12,23,23
Besancon,22,31,20,20,9,7,31,19,32,28,17,11,15,11,29,31,14,10,27,21,7,13,27,33
Bobigny,14,8,32,30,18,13,22,19,14,17,17,17,12,8,27,17,32,37,11,14,16,31,38,75
Bordeaux,11,14,27,34,24,29,26,43,17,21,16,15,13,15,29,19,13,10,26,40,12,20,37,33
Bourges,42,25,40,32,13,8,54,46,27,20,47,44,21,20,29,33,36,57,33,30,33,38,34,33
Carcassonne,18,19,19,11,10,9,29,24,27,31,19,23,24,27,25,32,19,22,35,26,7,7,36,34
Cergy_Pontoise,12,13,17,14,8,9,28,34,20,25,22,19,11,9,24,25,30,17,22,29,12,10,30,29
Chambery,13,13,16,15,7,6,10,12,5,7,11,9,8,7,16,14,14,13,11,9,9,10,14,11
Clermont_Ferrand,44,39,90,60,47,82,76,81,42,37,66,49,42,32,56,51,43,42,72,71,43,45,87,88
Creteil,24,30,28,20,15,19,42,22,43,72,33,26,13,6,27,17,34,26,30,33,8,6,41,59
Digne,24,25,47,24,24,30,25,17,33,25,40,23,12,11,34,67,28,25,28,33,10,10,46,37
Dijon,25,25,45,23,12,6,37,35,25,22,42,40,20,27,35,54,30,23,30,25,20,37,49,56
Evry,26,31,25,21,44,87,59,54,34,35,32,39,43,46,70,79,33,39,69,50,29,17,65,87
Foix,23,37,10,9,8,9,23,25,9,11,12,14,4,5,16,16,12,12,19,23,6,6,28,25
Grenoble,10,6,11,11,15,15,26,27,10,8,19,21,6,8,22,26,12,12,17,11,12,13,15,16
Lille,56,52,19,15,18,13,57,73,39,31,27,34,15,9,45,36,49,49,48,45,12,12,62,76
Limoges,24,30,29,33,21,26,32,25,23,26,50,56,14,7,44,46,22,24,47,37,25,21,40,22
Lyon,0,0,0,1,0,1,0,0,2,4,1,0,1,2,5,6,7,5,9,8,4,5,12,7
Marseille,64,50,31,29,28,17,71,47,57,69,25,31,37,19,81,47,28,15,48,28,49,91,51,53
Melun,50,44,56,62,40,45,45,55,33,32,60,63,23,21,54,67,25,27,47,44,14,15,48,61
Metz,18,18,31,30,25,14,31,24,19,9,35,26,15,27,26,30,21,15,12,10,19,10,39,29
Nimes,21,16,33,42,16,12,27,27,12,10,24,27,8,4,23,14,12,11,22,28,12,16,45,55
Nancy,0,0,0,0,0,0,0,0,2,3,6,7,7,4,8,10,7,4,7,6,6,8,12,9
Nanterre,11,7,18,12,15,16,27,32,29,60,11,6,23,28,25,22,18,13,18,13,8,6,25,22
Nantes,47,44,47,45,30,23,48,84,40,48,20,25,41,29,58,38,51,29,35,17,12,11,53,42
Nice,17,12,20,12,21,23,27,16,24,17,13,17,18,14,37,26,17,18,27,25,12,25,26,50
Perigueux,28,16,22,13,24,15,46,39,15,17,31,36,20,26,34,23,28,34,18,19,29,19,39,60
Paris_Nord,30,32,19,25,15,11,30,56,15,8,36,45,24,39,45,26,31,33,35,19,12,16,43,43
Paris_Sud,17,21,51,41,16,12,47,36,23,30,37,40,8,14,31,21,29,26,25,32,14,14,40,51
Pau,26,14,25,17,10,6,28,18,31,40,26,21,5,5,25,18,24,30,21,16,13,9,27,57
Quimper,0,1,0,0,0,1,0,1,2,3,2,2,2,1,6,7,17,14,15,13,7,7,14,17
Rodez,17,19,19,15,7,3,13,13,16,10,15,10,14,17,20,18,12,20,20,18,10,12,14,18
Rouen,22,36,17,24,32,30,36,37,10,13,18,9,5,2,28,19,28,28,9,8,11,9,35,24
St_Brieuc,29,33,23,21,16,19,81,74,33,19,11,9,9,8,38,23,37,19,24,16,8,7,40,27
St_Etienne,44,35,35,30,18,13,32,25,28,23,32,18,12,8,22,23,28,31,39,33,28,29,40,44
Strasbourg,58,51,45,23,44,46,50,35,56,68,48,98,32,32,64,62,27,19,34,20,44,31,73,38
Tarbes,25,18,33,20,16,11,28,32,39,40,30,19,14,8,26,25,41,25,24,21,22,17,32,37
Toulon,5,3,3,4,6,6,11,8,3,2,7,4,5,5,9,4,11,23,9,18,3,2,9,16
Tours,13,16,13,12,10,12,21,41,11,13,14,25,5,8,20,11,19,10,14,8,8,9,26,34
Troyes,28,26,31,16,13,8,32,34,12,8,18,21,18,17,24,32,35,18,28,22,19,10,25,14
Valence,61,90,38,69,35,18,50,50,85,89,38,43,34,26,90,105,88,109,48,50,35,41,103,143
Valenciennes,0,0,0,0,0,0,0,1,9,11,16,25,9,6,11,8,39,49,33,30,15,17,31,17
Versailles,104,102,42,40,79,77,105,104,42,25,70,72,29,37,116,91,85,128,66,39,50,52,53,64
