Villes,O_Janvier,R_Janvier,O_Fevrier,R_Fevrier,O_Mars,R_Mars,O_Avril,R_Avril,O_Mai,R_Mai,O_Juin,R_Juin,O_Juillet,R_Juillet,O_Aout,R_Aout,O_Septembre,R_Septembre,O_Octobre,R_Octobre,O_Novembre,R_Novembre,O_Decembre,R_Decembre
Alencon,188.6,382.3,172.8,178.1,41.9,41.9,209.5,267.1,130.9,172.8,199.0,120.5,99.5,204.3,246.2,330.0,125.7,120.5,146.7,110.0,141.4,172.8,193.8,204.3
Amiens,185.6,205.3,79.0,79.0,150.0,177.7,161.9,232.9,79.0,79.0,118.4,169.8,82.9,75.0,189.5,150.0,189.5,213.2,122.4,122.4,39.5,35.5,177.7,177.7
Angers,18.3,18.3,55.0,66.0,25.7,29.3,36.6,51.3,22.0,36.6,18.3,22.0,14.7,14.7,33.0,55.0,36.6,58.6,22.0,44.0,18.3,14.7,36.6,33.0
Angouleme,200.7,154.1,102.7,116.7,65.4,84.0,200.7,214.7,149.4,84.0,126.0,107.4,65.4,135.4,210.1,200.7,93.4,98.0,214.7,205.4,93.4,79.4,149.4,196.1
Arras,255.9,180.3,215.2,226.8,139.6,122.1,191.9,157.0,139.6,104.7,203.6,296.6,180.3,267.5,267.5,221.0,98.9,128.0,221.0,151.2,180.3,215.2,215.2,250.1
Bastia,284.1,167.1,117.0,183.8,75.2,117.0,300.8,192.2,91.9,58.5,142.0,158.8,66.8,108.6,259.0,267.4,208.9,267.4,225.6,242.3,83.6,100.3,192.2,192.2
Besancon,173.8,245.0,158.0,158.0,71.1,55.3,245.0,150.1,252.9,221.3,134.3,86.9,118.5,86.9,229.2,245.0,110.6,79.0,213.4,165.9,55.3,102.7,213.4,260.8
Bobigny,74.5,42.6,170.4,159.7,95.8,69.2,117.1,101.2,74.5,90.5,90.5,90.5,63.9,42.6,143.8,90.5,170.4,197.0,58.6,74.5,85.2,165.0,202.3,399.3
Bordeaux,77.8,99.0,190.9,240.4,169.7,205.0,183.8,304.0,120.2,148.5,113.1,106.0,91.9,106.0,205.0,134.3,91.9,70.7,183.8,282.8,84.8,141.4,261.6,233.3
Bourges,232.2,138.2,221.1,176.9,71.9,44.2,298.5,254.3,149.2,110.6,259.8,243.2,116.1,110.6,160.3,182.4,199.0,315.1,182.4,165.8,182.4,210.1,187.9,182.4
Carcassonne,124.0,130.9,130.9,75.8,68.9,62.0,199.8,165.3,186.0,213.5,130.9,158.4,165.3,186.0,172.2,220.4,130.9,151.5,241.1,179.1,48.2,48.2,248.0,234.2
Cergy_Pontoise,66.3,71.8,94.0,77.4,44.2,49.7,154.7,187.9,110.5,138.2,121.6,105.0,60.8,49.7,132.6,138.2,165.8,94.0,121.6,160.3,66.3,55.3,165.8,160.3
Chambery,103.2,103.2,127.0,119.1,55.6,47.6,79.4,95.3,39.7,55.6,87.3,71.5,63.5,55.6,127.0,111.2,111.2,103.2,87.3,71.5,71.5,79.4,111.2,87.3
Clermont_Ferrand,176.7,156.6,361.4,241.0,188.7,329.3,305.2,325.3,168.7,148.6,265.1,196.8,168.7,128.5,224.9,204.8,172.7,168.7,289.1,285.1,172.7,180.7,349.4,353.4
Creteil,149.0,186.3,173.9,124.2,93.1,118.0,260.8,136.6,267.0,447.0,204.9,161.4,80.7,37.3,167.6,105.6,211.1,161.4,186.3,204.9,49.7,37.3,254.6,366.3
Digne,157.9,164.4,309.2,157.9,157.9,197.3,164.4,111.8,217.1,164.4,263.1,151.3,78.9,72.4,223.6,440.7,184.2,164.4,184.2,217.1,65.8,65.8,302.6,243.4
