Villes,O_Janvier,R_Janvier,O_Fevrier,R_Fevrier,O_Mars,R_Mars,O_Avril,R_Avril,O_Mai,R_Mai,O_Juin,R_Juin,O_Juillet,R_Juillet,O_Aout,R_Aout,O_Septembre,R_Septembre,O_Octobre,R_Octobre,O_Novembre,R_Novembre,O_Decembre,R_Decembre
Alencon,1.3,1.6,2.15,2.3,1.15,1.1,1.15,2.2,1.1,1.3,1.4,1.3,1.48,1.0,1.49,2.4,0.83,1.0,1.28,1.6,1.28,1.4,3.1,3.9
Amiens,1.26,2.1,0.92,1.8,2.06,1.9,1.32,2.3,2.48,2.0,1.77,1.2,2.01,2.4,1.94,3.6,3.46,2.9,0.44,0.5,1.48,1.1,1.1,1.2
Angers,3.65,3.6,2.36,2.0,1.97,2.2,2.3,1.8,4.7,2.3,1.14,2.0,0.58,1.1,1.74,2.1,1.68,2.6,1.62,2.2,1.96,2.1,2.96,2.3
Angouleme,0.6,1.1,1.85,1.5,1.2,1.2,1.81,1.4,1.64,1.4,2.01,2.1,2.5,2.2,2.53,2.8,2.06,1.7,0.84,1.5,0.59,1.1,2.36,1.5
Arras,1.09,1.1,1.01,1.6,1.24,1.8,0.82,1.0,1.42,1.4,1.8,1.5,2.13,1.8,1.02,1.1,1.82,1.6,1.77,1.5,0.99,1.1,1.71,2.2
Bastia,1.22,1.2,0.68,0.7,1.32,1.1,1.02,1.0,1.82,1.8,0.81,1.1,0.7,1.4,1.09,2.0,1.61,1.6,2.05,1.8,0.83,1.0,1.23,0.9
Besancon,2.59,2.0,3.19,3.2,4.2,3.4,0.66,1.2,2.44,1.4,1.27,1.4,1.99,2.6,5.47,5.2,3.72,2.9,1.63,1.3,1.98,1.6,4.9,3.5
Bobigny,1.28,1.3,2.51,2.3,2.84,2.8,2.98,2.4,3.3,1.9,3.02,2.5,1.21,1.7,1.67,1.5,2.7,2.9,1.69,1.9,2.84,2.2,4.12,4.7
Bordeaux,0.92,1.6,3.33,2.8,5.62,4.8,1.48,1.7,2.44,1.9,6.75,5.2,2.51,1.5,3.19,2.5,0.73,1.2,2.05,3.2,1.36,1.8,1.74,2.7
Bourges,0.71,0.5,0.8,1.0,0.76,0.9,0.67,0.8,0.97,1.2,0.65,0.8,0.69,1.1,0.82,0.6,1.04,1.4,0.66,0.7,1.77,1.6,0.76,0.9
Carcassonne,4.37,2.4,1.59,1.4,1.29,1.3,1.76,1.6,0.63,0.6,0.66,1.1,1.59,1.8,3.26,2.6,1.04,1.1,0.49,0.6,1.39,0.8,0.79,1.5
Cergy_Pontoise,0.62,0.8,0.65,0.5,0.65,1.1,1.44,0.9,1.99,1.7,0.88,0.9,0.22,0.4,0.65,0.6,0.41,0.8,0.84,0.6,1.1,1.1,0.41,0.7
