Villes,O_Janvier,R_Janvier,O_Fevrier,R_Fevrier,O_Mars,R_Mars,O_Avril,R_Avril,O_Mai,R_Mai,O_Juin,R_Juin,O_Juillet,R_Juillet,O_Aout,R_Aout,O_Septembre,R_Septembre,O_Octobre,R_Octobre,O_Novembre,R_Novembre,O_Decembre,R_Decembre
Alencon,89,55,40,40,34,36,90,128,48,52,95,94,22,23,112,132,60,65,107,105,64,36,87,98
Amiens,42,22,83,169,53,45,56,93,54,50,30,32,49,62,69,39,28,27,87,64,42,45,70,81
Angers,6,3,6,6,11,10,19,18,14,14,8,17,5,4,15,10,13,13,5,3,7,6,18,29
Angouleme,93,49,86,45,47,57,62,72,37,25,43,75,65,65,88,48,69,57,66,53,42,51,103,97
Arras,75,58,60,75,42,31,110,69,42,49,57,54,21,26,93,82,80,80,87,53,28,26,63,38
Bastia,36,23,94,110,45,56,53,47,32,39,73,38,32,24,60,66,31,20,38,58,52,64,129,153
Besancon,41,52,44,51,27,27,86,110,60,68,55,70,39,19,51,43,59,38,65,48,42,39,78,84
Bobigny,72,76,43,49,30,28,63,69,36,50,35,57,48,55,60,68,76,154,62,47,35,43,43,35
Bordeaux,26,23,54,31,35,22,94,76,33,20,46,50,44,43,56,70,66,67,70,87,17,21,69,70
Bourges,33,37,95,66,49,49,79,44,78,49,64,49,40,43,69,89,53,69,45,24,33,21,53,59
Carcassonne,38,19,83,78,26,26,70,78,94,64,73,41,38,34,48,33,71,76,82,48,38,45,102,54
Cergy_Pontoise,39,22,48,58,15,22,41,44,39,39,34,43,33,30,51,74,28,15,65,56,46,81,56,50
Chambery,30,20,19,12,43,23,50,76,17,21,22,29,41,21,45,27,40,51,31,32,24,25,44,24
Clermont_Ferrand,112,76,133,78,47,60,105,100,83,122,64,33,26,19,132,162,84,98,72,73,107,97,113,125
Creteil,72,84,47,53,15,20,66,39,29,37,33,36,30,34,98,114,78,123,70,57,23,27,89,70
Digne,60,115,70,38,62,64,82,44,63,76,40,56,39,36,113,87,123,122,116,73,48,33,85,151
Dijon,32,32,66,78,45,74,56,29,60,121,79,39,54,53,72,65,75,61,49,60,68,35,85,68
Evry,61,86,67,66,31,36,60,30,44,52,53,51,66,43,71,137,73,85,70,88,34,34,78,44
Foix,96,93,37,41,38,29,109,120,39,36,21,18,11,13,51,33,47,54,17,16,22,16,61,62
Grenoble,29,23,36,44,18,16,52,44,31,25,24,30,16,20,72,80,29,29,53,68,22,27,34,24
Lille,32,22,93,89,23,22,85,43,47,31,35,44,48,52,80,101,36,43,54,33,64,81,69,67
Limoges,81,60,100,88,43,37,64,45,46,58,30,16,55,49,66,69,70,56,38,20,65,65,91,90
Lyon,10,8,5,4,6,8,11,11,9,9,4,5,6,12,14,8,5,3,12,8,6,8,18,15
Marseille,95,139,59,69,79,71,146,243,114,157,51,33,77,91,89,73,103,160,93,101,30,21,154,177
Melun,56,114,82,60,24,38,78,88,31,25,68,42,27,16,58,114,59,57,58,43,22,26,74,127
Metz,49,36,54,61,36,44,57,74,59,117,37,64,24,17,87,78,24,19,68,75,21,13,59,41
Nimes,62,53,36,34,44,52,55,71,47,43,55,39,37,27,64,34,60,83,29,20,67,67,83,51
Nancy,2,1,3,2,3,2,13,15,3,3,1,0,1,1,5,7,3,4,1,1,1,1,8,5
Nanterre,34,21,61,77,40,40,50,41,46,41,30,44,21,20,73,84,48,27,23,23,18,20,84,108
Nantes,93,111,54,45,20,14,83,115,58,68,40,83,53,50,82,94,69,45,61,44,37,21,122,149
Nice,68,77,30,37,60,72,62,44,50,42,56,46,27,21,47,37,45,33,26,30,29,33,84,47
Perigueux,54,42,22,18,18,18,60,59,46,37,49,29,22,14,42,42,61,54,21,26,24,30,80,66
Paris_Nord,39,30,25,36,16,13,80,55,42,37,87,60,48,30,53,58,30,22,60,60,37,47,63,80
Paris_Sud,89,77,86,61,36,26,68,85,92,118,75,43,24,21,64,38,70,39,94,196,31,32,136,74
Pau,67,58,89,82,33,21,85,140,45,24,40,63,43,59,59,41,61,77,38,22,24,19,90,60
Quimper,5,3,7,4,4,6,10,11,8,4,10,10,2,2,10,5,6,5,21,18,9,6,18,13
Rodez,34,21,48,26,18,20,54,40,53,36,40,46,14,27,63,33,57,38,30,29,18,19,54,65
Rouen,27,34,58,47,11,13,56,28,35,34,25,30,14,26,35,36,32,37,25,37,44,45,45,82
St_Brieuc,31,42,76,82,52,28,63,71,35,24,36,30,61,62,94,150,63,69,65,56,39,41,64,64
St_Etienne,70,39,31,27,19,28,88,95,32,33,55,60,22,14,42,24,40,28,37,44,23,45,68,57
Strasbourg,133,133,99,110,55,46,108,68,68,40,75,47,41,50,110,136,80,66,69,141,65,61,121,138
Tarbes,54,32,42,50,24,31,81,157,25,15,71,46,22,25,68,85,69,72,60,42,41,21,54,30
Toulon,26,30,11,14,15,12,38,21,11,9,13,9,12,9,18,17,18,19,16,14,14,8,21,21
Tours,51,53,21,22,24,28,46,51,42,46,18,12,17,15,48,26,43,54,23,22,21,19,52,29
Troyes,32,56,77,150,33,20,65,49,69,81,37,31,14,14,68,70,61,45,52,60,14,10,50,49
Valence,101,116,45,26,39,31,166,187,97,67,129,125,36,35,132,159,75,94,46,31,72,137,154,187
Valenciennes,15,18,15,10,14,7,35,25,9,9,25,23,11,10,29,27,13,9,21,22,13,8,62,32
Versailles,53,75,55,44,73,61,108,91,61,43,34,23,84,55,87,87,106,75,54,32,40,67,129,124
