Villes,O_Janvier,R_Janvier,O_Fevrier,R_Fevrier,O_Mars,R_Mars,O_Avril,R_Avril,O_Mai,R_Mai,O_Juin,R_Juin,O_Juillet,R_Juillet,O_Aout,R_Aout,O_Septembre,R_Septembre,O_Octobre,R_Octobre,O_Novembre,R_Novembre,O_Decembre,R_Decembre
Alencon,3,5,5,6,6,4,2,5,62,74,41,70,28,33,41,27,27,17,32,57,40,25,66,69
Amiens,2,1,2,4,2,1,2,3,44,29,51,62,30,24,42,24,5,6,6,4,3,3,9,11
Angers,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,2,2
Angouleme,5,7,6,12,10,11,10,11,15,14,6,3,11,6,22,12,9,7,17,18,4,4,22,27
Arras,20,13,13,14,10,8,10,16,12,12,4,2,10,6,12,20,12,18,4,2,6,8,15,15
Bastia,0,0,0,1,0,1,0,0,49,62,20,14,35,43,51,35,12,13,7,8,8,8,11,12
Besancon,10,8,11,6,10,11,10,6,15,11,5,5,4,7,17,9,13,16,18,14,5,6,15,28
Bobigny,1,1,1,0,2,3,1,1,0,1,1,2,0,0,4,4,9,5,7,5,5,4,8,6
Bordeaux,9,16,8,5,6,8,6,5,14,9,37,67,13,23,33,37,25,20,21,17,5,6,27,25
Bourges,1,0,1,1,1,2,1,2,1,1,2,3,1,0,6,10,5,3,11,14,11,6,16,18
Carcassonne,5,10,12,7,8,7,5,4,7,4,9,12,8,9,15,12,16,13,20,21,16,12,52,42
Cergy_Pontoise,0,0,0,0,1,0,1,1,4,4,5,3,1,0,5,3,3,2,1,2,2,2,7,8
Chambery,2,1,2,2,1,1,2,1,42,32,25,23,12,8,50,89,2,2,1,0,1,1,5,7
Clermont_Ferrand,18,15,20,13,20,19,20,24,23,18,28,26,32,37,41,44,42,32,63,55,47,62,97,86
Creteil,22,15,25,30,25,34,50,45,0,0,0,1,0,0,0,0,15,11,23,15,30,15,50,50
Digne,2,1,2,2,5,3,5,5,2,2,7,9,4,9,6,8,4,3,12,11,6,6,14,14
Dijon,9,18,5,7,5,5,10,10,11,10,13,9,7,8,14,7,5,5,13,14,5,3,10,9
Evry,0,1,0,1,0,0,0,0,1,0,1,1,0,0,4,5,5,2,3,4,2,2,5,5
Foix,4,5,5,3,2,2,3,4,14,17,10,9,5,6,11,5,26,17,18,21,14,12,16,11
Grenoble,0,1,0,0,0,0,0,0,3,4,3,3,2,5,3,3,2,4,2,2,3,2,4,4
Lille,1,2,2,3,3,2,2,2,16,24,21,17,19,21,38,45,22,27,22,26,11,12,37,33
Limoges,11,23,10,20,15,28,15,14,17,16,18,35,5,4,21,26,10,9,4,4,4,3,16,28
Lyon,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Marseille,12,8,15,8,15,10,30,32,21,32,29,26,23,18,33,42,30,27,44,40,34,40,83,106
Melun,6,6,5,8,5,7,10,8,14,13,9,7,5,5,16,32,9,16,6,5,5,4,10,6
Metz,14,27,15,24,15,16,10,10,4,3,6,4,3,2,5,3,16,14,9,10,8,12,30,22
Nimes,10,8,10,11,10,10,10,11,3,3,8,8,7,6,8,9,1,1,2,2,2,1,6,7
Nancy,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0
Nanterre,2,2,3,4,3,2,3,5,10,6,14,18,13,8,16,14,5,3,7,5,6,8,18,19
Nantes,1,0,0,1,1,2,2,2,16,9,25,31,17,22,34,36,37,41,45,49,47,55,56,47
Nice,0,1,0,0,0,0,0,1,2,1,2,3,0,1,3,2,1,0,3,2,2,3,4,3
Perigueux,2,2,2,1,2,3,3,2,6,6,6,6,7,4,12,15,11,12,15,18,6,6,11,11
Paris_Nord,1,1,1,1,2,1,3,2,16,14,13,20,11,9,28,16,9,6,14,18,3,4,13,8
Paris_Sud,10,13,15,10,15,19,17,16,44,49,31,31,34,44,63,59,13,26,9,9,9,15,29,37
Pau,5,4,5,4,5,5,10,7,1,0,0,1,0,0,2,2,5,5,3,2,2,3,6,4
Quimper,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Rodez,5,5,5,4,5,5,5,5,6,5,7,8,2,3,7,7,9,8,4,3,4,6,10,6
Rouen,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,29,24,14,25,26,27,31,33
St_Brieuc,10,6,15,14,15,29,20,16,4,4,2,1,2,1,11,20,10,7,14,23,5,6,25,22
St_Etienne,0,0,0,0,0,0,0,1,25,23,20,15,19,18,25,23,17,9,18,19,7,10,12,15
Strasbourg,12,9,12,15,12,12,12,9,0,0,0,0,0,0,0,0,18,14,11,15,28,17,30,19
Tarbes,16,21,15,16,15,15,20,17,5,4,11,13,5,4,9,9,6,6,5,7,1,1,8,8
Toulon,0,1,0,1,0,1,0,0,2,3,2,1,2,3,6,3,0,1,0,0,0,0,0,1
Tours,1,0,1,0,1,0,2,3,0,1,1,1,0,0,3,4,3,2,2,1,1,1,4,6
Troyes,4,4,5,2,5,3,5,4,1,1,1,2,2,2,3,6,4,3,13,16,6,8,10,11
Valence,30,40,40,50,40,22,45,25,131,97,117,105,21,15,100,112,67,92,64,73,65,119,98,98
Valenciennes,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1
Versailles,7,4,7,8,7,5,8,11,53,46,50,32,73,49,98,63,83,62,95,78,53,60,86,75
