Villes,O_Janvier,R_Janvier,O_Fevrier,R_Fevrier,O_Mars,R_Mars,O_Avril,R_Avril,O_Mai,R_Mai,O_Juin,R_Juin,O_Juillet,R_Juillet,O_Aout,R_Aout,O_Septembre,R_Septembre,O_Octobre,R_Octobre,O_Novembre,R_Novembre,O_Decembre,R_Decembre
Alencon,43,,10,,19,,37,,47,,49,,26,,22,,46,,25,,33,,3,
Amiens,47,,14,,10,,1,,50,,18,,0,,14,,34,,11,,22,,17,
Angers,29,,1,,27,,19,,7,,39,,20,,17,,48,,21,,22,,16,
Angouleme,34,,8,,26,,2,,9,,17,,6,,3,,8,,10,,12,,23,
Arras,5,,15,,33,,11,,0,,45,,37,,17,,7,,10,,6,,9,
Bastia,36,,48,,17,,40,,32,,2,,6,,47,,45,,39,,14,,10,
Besancon,10,,46,,12,,5,,27,,32,,46,,45,,37,,42,,41,,0,
Bobigny,27,,36,,11,,24,,12,,40,,5,,13,,27,,4,,8,,6,
Bordeaux,13,,35,,24,,46,,6,,10,,38,,8,,9,,0,,16,,31,
Bourges,49,,16,,43,,36,,26,,30,,38,,41,,33,,39,,48,,9,
Carcassonne,44,,30,,20,,9,,11,,45,,39,,29,,25,,41,,8,,18,
Cergy_Pontoise,18,,22,,34,,13,,29,,23,,36,,17,,7,,49,,27,,44,
Chambery,8,,32,,18,,9,,47,,0,,15,,7,,22,,4,,50,,11,
Clermont_Ferrand,28,,32,,33,,5,,35,,35,,37,,15,,39,,33,,23,,15,
Creteil,12,,21,,8,,19,,14,,21,,17,,23,,48,,7,,28,,11,
Digne,23,,23,,0,,37,,50,,8,,12,,26,,45,,23,,40,,36,
Dijon,35,,39,,26,,50,,46,,28,,2,,16,,30,,2,,26,,25,
Evry,5,,14,,2,,2,,39,,17,,20,,7,,12,,15,,36,,26,
Foix,27,,40,,15,,26,,35,,35,,20,,5,,22,,17,,12,,38,
Grenoble,7,,2,,18,,3,,26,,40,,26,,47,,43,,2,,22,,31,
Lille,39,,18,,26,,37,,0,,37,,37,,3,,40,,18,,22,,38,
Limoges,46,,39,,32,,50,,45,,27,,23,,28,,43,,28,,19,,44,
Lyon,20,,46,,39,,43,,15,,47,,40,,11,,27,,37,,5,,42,
Marseille,44,,5,,35,,4,,20,,1,,39,,34,,13,,28,,24,,39,
Melun,39,,0,,44,,35,,13,,41,,48,,18,,45,,28,,36,,45,
Metz,12,,15,,7,,14,,28,,3,,50,,11,,41,,13,,26,,32,
Nimes,9,,44,,26,,8,,36,,0,,0,,36,,6,,32,,13,,5,
Nancy,3,,40,,8,,37,,36,,48,,38,,27,,39,,17,,43,,2,
Nanterre,38,,41,,6,,26,,17,,40,,34,,19,,38,,29,,47,,38,
Nantes,42,,44,,49,,48,,22,,26,,27,,15,,17,,35,,28,,33,
Nice,28,,34,,46,,17,,23,,20,,49,,49,,16,,34,,18,,8,
Perigueux,31,,10,,26,,5,,31,,35,,3,,44,,50,,45,,35,,13,
Paris_Nord,14,,32,,49,,46,,21,,24,,3,,23,,27,,31,,29,,27,
Paris_Sud,15,,16,,5,,1,,1,,31,,42,,46,,22,,46,,25,,24,
Pau,46,,49,,36,,35,,26,,29,,44,,25,,8,,46,,19,,41,
Quimper,31,,3,,10,,28,,2,,41,,31,,34,,36,,44,,10,,50,
Rodez,12,,20,,1,,38,,41,,6,,1,,21,,9,,31,,46,,28,
Rouen,41,,11,,27,,27,,19,,46,,6,,3,,38,,27,,4,,3,
St_Brieuc,45,,31,,50,,13,,39,,27,,4,,26,,39,,3,,8,,25,
St_Etienne,14,,11,,24,,25,,17,,1,,26,,9,,30,,12,,22,,37,
Strasbourg,3,,11,,26,,24,,5,,43,,27,,41,,19,,19,,40,,6,
Tarbes,50,,21,,32,,38,,2,,48,,1,,18,,36,,11,,4,,46,
Toulon,46,,3,,12,,46,,32,,42,,48,,41,,50,,44,,41,,39,
Tours,1,,50,,2,,25,,48,,19,,49,,37,,42,,33,,50,,23,
Troyes,20,,43,,28,,46,,32,,45,,4,,26,,29,,25,,1,,40,
Valence,44,,25,,30,,49,,49,,21,,8,,15,,8,,40,,6,,11,
Valenciennes,16,,19,,12,,50,,6,,36,,41,,5,,44,,44,,34,,19,
Versailles,35,,50,,24,,40,,15,,33,,7,,21,,28,,30,,9,,18,
