Villes,O_mois,R_mois
Alencon,35,14
Amiens,16,63
Angers,60,35
Angouleme,55,54
Arras,32,65
Bastia,50,10
Besancon,14,26
Bobigny,20,74
Bordeaux,52,1
Bourges,40,10
Carcassonne,10,9
Cergy_Pontoise,9,24
Chambery,75,38
Clermont_Ferrand,31,31
Creteil,72,32
Digne,70,34
Dijon,35,80
Evry,47,33
Foix,18,28
Grenoble,2,43
Lille,76,3
Limoges,50,73
Lyon,33,62
Marseille,41,4
Melun,16,75
Metz,20,79
Nimes,42,61
Nancy,62,7
Nanterre,78,53
Nantes,41,58
Nice,55,63
Perigueux,13,35
Paris_Nord,8,62
Paris_Sud,74,62
Pau,68,13
Quimper,58,2
Rodez,11,45
Rouen,70,11
St_Brieuc,4,69
St_Etienne,24,4
Strasbourg,16,79
Tarbes,28,51
Toulon,65,72
Tours,42,47
Troyes,32,60
Valence,54,46
Valenciennes,23,17
Versailles,58,58
